uhhidfs,uhhid,j1,j10,j11,j12,j13,j14,j15,j16,j17,j18,j19,j110,j111,j112,j113,j114,j115,j1_other,j2_1,j2_2,j2_3,j2_4,j2_5,j2_6,j2_7,j2_8,j2_9,j2_10,j2_11,j2_12,j2_13,j2_14
154,3000411,6 11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA
155,2000595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2000641,2 6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
157,2000551,2 6 7,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,3,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
158,3000069,6 2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
159,1000351,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1000458,8 9 11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,4,NA,NA,NA
161,3000245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,1000303,8 9 4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,3,NA,NA,NA,4,3,NA,NA,NA,NA,NA
163,1000261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,1000469,2 6 11 8 9,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,NA,NA,3,NA,NA,NA,3,NA,3,3,NA,4,NA,NA,NA
165,1000350,8 9 6 13,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,3,NA
166,3000241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,1001679,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,1000589,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1000445,7 11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA
