uhhidfs,uhhidp,s1,s2,s3,s4,s5,s6,s7,s8
2002,2000144,2,2,3,3,3,999,2,1
2003,2000171,1,2,2,2,2,999,1,1
2004,2000161,999,999,999,999,999,999,999,1
2005,2000145,1,2,2,2,2,999,1,1
2006,2000169,1,1,1,2,2,999,2,1
2007,2000557,2,2,2,2,2,999,2,1
2008,2000479,2,1,2,2,1,999,1,1
2009,2000247,1,1,1,2,2,999,1,1
2010,2000246,1,2,2,2,1,999,1,1
2011,2000245,1,2,2,1,1,999,1,1
2012,2000248,1,2,2,1,1,999,1,1
2013,2000669,1,1,1,1,1,999,1,1
2014,2000667,2,2,3,3,3,999,2,1
2015,2000672,2,2,3,1,2,999,2,2
2016,3000742,2,1,1,4,1,999,1,1
2017,3000777,1,1,1,2,1,999,2,2
2018,3000779,1,1,2,1,1,999,2,1
2019,3000745,2,1,1,1,1,999,1,1
2020,3000780,1,2,1,1,1,999,1,1
2021,3001401,2,2,2,2,2,999,2,2
2023,3001402,3,2,2,2,1,999,1,2
2024,3001403,2,2,2,2,2,999,2,2
2025,3001407,2,2,2,2,2,999,2,2
2026,3001406,2,2,1,2,2,999,2,2
2027,3001494,2,2,2,3,2,999,2,2
2028,3001493,2,2,2,2,2,999,2,2
2029,3001492,2,2,2,2,2,999,2,2
2030,3001405,2,2,2,2,2,999,2,2
2031,1001872,2,2,2,3,2,999,2,1
2032,1001617,2,2,2,2,2,999,2,1
2033,1001761,3,3,3,3,2,999,2,1
2034,1001660,2,2,2,2,2,999,2,1
2035,1001528,2,2,2,3,2,999,2,1
2036,1000142,1,2,2,3,3,999,3,2
2037,1000369,1,2,2,3,2,999,2,2
2038,1000370,2,2,2,2,2,999,2,2
2039,1000316,1,2,3,2,2,999,1,4
2040,1000147,2,2,3,2,2,999,2,2
2041,1000363,1,2,2,2,1,999,2,1
2042,1000295,1,2,2,2,2,999,2,2
2043,1001180,2,2,2,3,2,999,2,2
2044,1000777,2,2,3,3,2,999,2,3
2045,1001085,2,2,3,3,2,999,2,2
2046,1000175,2,2,3,3,3,999,2,3
2047,1001520,2,2,2,3,2,999,2,2
2048,1001512,1,2,3,3,3,999,2,2
2049,1001438,2,2,3,3,3,999,2,3
2050,1000086,2,2,2,3,2,999,2,2
2051,1001117,1,1,1,3,2,999,2,2
2052,3000720,3,2,2,2,2,Non,1,1
2053,3000721,3,2,2,2,2,Non,1,1
2054,3000762,3,3,2,3,3,Non,2,2
2055,3000760,3,2,4,2,4,Always busy,2,1
2056,3000748,3,3,3,3,3,Non,2,2
2057,3000751,3,3,2,2,3,Non,1,1
2058,3000750,3,3,2,2,2,Nkn,2,1
2059,2000049,2,1,2,1,1,999,2,1
2060,2000046,2,1,1,1,1,999,1,1
2061,2000047,2,2,1,2,1,999,2,1
2062,2000048,2,2,2,1,1,999,2,2
2063,2000033,3,3,2,2,2,999,2,2
2064,2000038,1,2,2,3,2,999,1,2
2065,2000041,1,3,1,1,1,999,1,1
2066,2000031,999,999,2,2,3,999,2,2
2067,2000237,2,4,2,3,1,999,1,1
2068,3000951,3,3,3,3,4,He's not usually around..,2,3
2069,2000447,2,2,3,2,4,Because they are from her,2,2
2070,2000448,2,2,3,3,3,None,2,2
2071,2000446,2,2,4,3,4,Because some refugees they do still them.,3,2
2072,2000453,1,1,1,1,1,Because even since 1986 has been chairman LC1,1,1
2073,2000454,1,1,1,1,1,Very copperative,2,2
2074,2000455,2,2,3,3,3,None,2,3
2075,2000456,2,2,3,3,3,None,2,2
2076,2000457,1,1,1,1,1,None,2,2
