uhhidfs,uhhidp,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_13,d1_14,d1_8,d1_9,d1_10,d1_11,d1_12,d2,d2other,d3,d3other,d4,d4other,d5,d6
1720,1001897,2,6,1,70,5,0.1,2,3,7,999,999,5,0.1,1,2,NA,2,NA,2,NA,5,5
2327,1001968,0.01,4,1.5,1.5,2,0.2,1,5,5,999,999,2,0.01,1,1,NA,2,NA,2,NA,20,5
2823,1002034,3,3,2,7,7,2,2,10,22,999,999,2,2,2,1,NA,4,NA,9,NA,25,6
2326,1002002,1,6,1.5,1.5,3,1,6,6,6,999,999,2,0.4,1,1,NA,2,NA,3,NA,35,7
1731,1001105,0.5,1,1.5,1.5,1,0.5,2.5,2.5,2.5,999,999,2.5,0.1,0.3,1,NA,2,NA,4,NA,0.5,7
2325,1002003,1.5,7,2,2,3,1,1,6,6,999,999,2,1,1,7,NA,2,NA,9,NA,45,6
4070,3000434,3,18,3,68,17,0.5,1,17,24,68,68,17,17,32,2,NA,2,NA,2,NA,30,4
2263,1000233,2,3,3,20,3,1,2,2,20,999,999,3,1,3,2,NA,2,NA,2,NA,0.5,6
1613,1000556,0.3,7,0.3,78,0.3,0.5,0.3,7,11,10,10,0.3,0.3,10,2,NA,2,NA,2,NA,0.5,2
1055,1000771,0.06,2,1,65,2,0.125,0.5,0.5,0.5,7,7,1,0.5,7,5,NA,2,NA,4,NA,20,2
2261,1000109,1,20,20,30,20,1,1,1,25,999,999,1,1,20,5,NA,2,NA,2,NA,0.5,6
2907,1000414,0.3,5,5,999,10,0.15,0.3,0.3,3,999,999,10,10,999,1,NA,2,NA,4,NA,3,2
1116,1002126,0.5,3,0.25,999,1,0.25,0.25,0.25,999,4,4,0.25,0.25,0.25,1,NA,2,NA,9,NA,10,2
3886,3000009,0.025,5,2,999,5,0.025,0.025,15,15,10,999,4,0.025,10,1,NA,2,NA,2,NA,30,6
3436,1002416,1.5,2.5,2.5,999,6,1.5,0.5,3,3,15,999,2,0.5,15,1,NA,2,NA,2,NA,30,7
2259,1000051,1,20,20,20,20,0.5,0.5,0.5,0.5,999,999,8,1,20,2,NA,2,NA,4,NA,0.5,4
1064,1000064,0.3,5,1,5,0.3,0.2,1,8,8,999,999,10,1,8,5,NA,2,NA,4,NA,10,2
2258,1002727,0.5,1,1.5,999,0.5,0.6,0.4,0.5,1,1,1,0.25,0.5,1,2,NA,4,NA,9,NA,35,7
2447,1002313,2,6,3,41,2,2,2,4,4,43,43,2,2,6,1,NA,4,NA,4,NA,120,6
2742,1002168,2,11,0.5,3,6,3,2,2,6,999,999,999,0.5,6,1,NA,4,NA,9,NA,30,2
3506,1002805,3,5,3,5,3,1.5,1,5,20,999,999,3,1,2,8,NA,4,NA,4,NA,15,6
2482,1002737,5,6,6,22,5,0.5,4,4,4,8,8,4,0.5,8,7,NA,4,NA,4,NA,0.7,7
2239,1001479,1.25,1.2,2.25,3,3,0.25,0.25,0.24,8,999,999,7,0.25,0.125,2,NA,2,NA,9,NA,6,7
1630,1000879,1.5,4,4,98,3.5,0.1,4,4,20,999,4,4,0.1,4,1,NA,2,NA,2,NA,0.5,7
2431,1001391,2,999,2,999,5,0.5,0.5,0.5,999,999,999,999,0.5,999,2,NA,2,NA,9,NA,5,2
2441,1001837,2.5,7,1.3,47,7,1.8,1,7,7,47,47,2,1,9,1,NA,4,NA,4,NA,1,6
2260,1000110,1,18,18,20,18,2,1,1,18,999,999,6,1,18,2,NA,4,NA,4,NA,6,6
3141,1002862,0.5,3,3,78,4,1,1,1,1,10,10,10,1,17,2,NA,2,NA,4,NA,10,3
1725,1001108,1.5,2,3,4,4,0.5,0.5,15,12,999,999,15,0.5,15,4,NA,2,NA,4,NA,20,7
1724,1000024,1.5,9,1,5,2,1,1,1,1,999,999,2,2,1,1,NA,2,NA,2,NA,60,6
2246,1002752,0.21,5,1,32,2.5,0.5,2.5,15,6,13,13,2.5,2.5,1.5,2,NA,2,NA,4,NA,5,7
3440,1002640,1.5,2.5,2.5,25,6,1.5,0.5,3,3,15,999,2,0.5,15,5,NA,4,NA,4,NA,30,6
2262,1000050,1,20,20,20,20,1,1,1,20,999,999,20,1,20,5,NA,4,NA,4,NA,10,6
1140,1000478,3,20,10,20,20,1,1,1,20,999,999,3,2,20,5,NA,2,NA,2,NA,10,4
2336,1003012,0.5,6,6,20,8,0.5,0.5,21,18,20,999,8,8,10,1,NA,2,NA,9,NA,20,6
3884,3001443,0.025,5,2,999,5,0.025,0.025,15,15,10,999,4,0.025,10,2,NA,2,NA,2,NA,30,2
2835,1002163,1.5,5,1.5,999,2.5,1.5,1.5,1.5,5,999,999,1.5,1.5,1.5,1,NA,4,NA,9,NA,40,2
2479,1002699,6,8,6,25,5,0.2,0.2,8,8,8,8,8,0.1,8,1,NA,4,NA,4,NA,0.5,2
2411,1000544,1,2,2,3,3,0.5,1,10,999,999,999,1,1,7,2,NA,2,NA,4,NA,10,7
2477,1002751,0.5,2,2,66,3,0.5,2,2,20,8,8,2,1,8,1,NA,4,NA,2,NA,0.5,2
2848,1002335,2,4,2,2,2,3,2,2,20,2,999,2,1,10,2,NA,2,NA,4,NA,60,7
2849,1002228,2,8,1,20,6,1,6,6,12,999,999,3,1,4,1,NA,4,NA,4,NA,30,6
2338,1002970,3,6,8,6,8,3,1,20,17,999,999,8,8,3,8,NA,4,NA,4,NA,40,6
1149,1000499,3,6,2,5,9,0.1,2,5,5,15,999,2,2,15,2,NA,4,NA,4,NA,30,6
1206,1000471,3,12,12,13,12,1,12,12,12,999,999,90,12,2,2,NA,2,NA,2,NA,0.5,4
1050,1001540,1,7,7,75,7,0.5,1,1,1,7,7,1,1,7,2,NA,2,NA,4,NA,8,7
2864,1002107,1,4,1,1,1,0.2,1,1,1,999,999,1,0.01,1,1,NA,2,NA,2,NA,2,5
1934,1001934,4,5,3,6,6,1,0.2,9,9,15,15,999,6,15,1,NA,2,NA,12,NA,15,7
2866,1002104,1.5,5,2,2,1.5,0.1,0.5,1.5,1.5,999,999,1.5,0.2,2,1,NA,2,NA,2,NA,10,7
1640,1001457,3,5,2,5,4,3,2,2,5,3,3,90,0.1,2,2,NA,2,NA,2,NA,10,2
2474,1001943,1,3,2,60,2,0.5,2,2,25,6,6,2,0.1,8,1,NA,2,NA,2,NA,0.5,7
1034,1001458,1,1,1,999,1,0.3,0.4,1,1,999,999,1,0.2,0.4,2,NA,2,NA,2,NA,5,6
1136,1000417,5,4,10,3,8,1.5,10,10,20,15,10,10,1,10,1,NA,2,NA,9,NA,0.5,2
2405,1001389,1,2,1,2,1,0.4,1,1,5,999,999,1,1,0.03,1,NA,2,NA,2,NA,35,5
2456,1002268,1.5,6,1,70,1,1,1,1,2,7,7,1,1,5,1,NA,4,NA,9,NA,20,7
1035,1001459,1,1,1,999,1,0.5,0.3,1,1,999,999,1,0.2,0.1,1,NA,2,NA,4,NA,5,7
4064,3001158,2,7,3,52,9,1,2,32,32,56,56,5,5,30,1,NA,2,NA,2,NA,8,6
2396,1000071,1,4,0.5,999,1,0.5,0.5,1,1,7,999,1,0.5,7,2,NA,2,NA,9,NA,30,6
2265,1001361,1,4,3,10,3,1,3,3,8,999,999,2,1,3,1,NA,2,NA,2,NA,6,6
1052,1000769,0.5,2,2,65,1.5,1,0.5,0.5,0.5,1,1,0.5,0.5,6,2,NA,2,NA,4,NA,5,7
1000,1000679,1,1,0.5,0.7,0.5,1,1,7,7,65,999,1,1,1,5,NA,2,NA,9,NA,10,2
3916,3000448,2,6,2,4,6,0.1,0.4,2,2,999,999,5,0.1,1.5,1,NA,2,NA,2,NA,45,5
3161,1003002,0.8,0.8,0.8,999,5,0.4,0.4,0.4,3,999,999,2,0.2,0.3,1,NA,2,NA,4,NA,5,2
2413,1002934,3,5,2,2,2,3,2,11,11,999,999,2,2,3,2,NA,4,NA,4,NA,60,7
3430,1000118,2,10,10,10,10,0.15,0.25,14,15,15,20,12,0.25,15,1,NA,2,NA,2,NA,30,6
1128,1000514,3,8,7.5,7.5,7.5,1,1,2,8,68,68,2,8,68,1,NA,2,NA,4,NA,25,6
2461,1000681,3,6,0.5,78,5,0.5,0.5,0.5,5,7,7,1,1,7,1,NA,2,NA,4,NA,10,7
3893,1001093,3.5,8,5,70,3,1.5,1,1,9,8,70,1,1,1,10,no latrine,2,NA,4,NA,30,4
2257,1002830,2,2.1,3,999,3,1.5,2,5,5,5.2,5.2,2,0.125,3,1,NA,4,NA,4,NA,45,7
3475,1002721,1,5,5,14,4,1,0.1,0.1,15,15,20,70,0.1,2,8,NA,4,NA,9,NA,20,6
3142,1002863,0.5,3,3,78,4,1,1,1,1,10,10,10,1,10,1,NA,2,NA,4,NA,30,7
2387,1002090,0.5,0.5,0.5,50,0.5,0.5,0.5,0.5,0.5,50,50,0.5,0.5,0.5,1,NA,4,NA,2,NA,40,4
2457,1001786,1.5,8,1,78,6,5,3,3,3,6,6,1,1,7,1,NA,4,NA,7,NA,30,7
2359,1001767,2,4,1,2,1,1,0.5,0.5,0.6,999,999,1,1,2,7,NA,4,NA,12,NA,0.5,6
2283,1000338,0.2,5,5,999,10,0.2,0.2,0.2,10,999,999,10,10,999,1,NA,2,NA,2,NA,10,7
2273,1001384,0.5,1,1,999,1,0.4,0.5,0.5,999,999,999,0.5,0.5,999,1,NA,2,NA,4,NA,5,2
3866,3000954,6,12,3,8,6,1,0.1,0.1,15,6,6,70,0.1,6,1,NA,2,NA,9,NA,20,1
3416,1002856,1,6,6,10,7,1,1,4,10,999,999,5,0.5,8,2,NA,2,NA,2,NA,20,6
3477,1002846,5,19,19,19,6,5,4,4,20,30,30,80,3,3,7,NA,4,NA,9,NA,60,6
2399,1000184,0.5,4,2,999,3,1,0.05,2,2,12,999,2,2,12,1,NA,2,NA,2,NA,25,9
3874,3000399,1,14,4,6,7,0.5,3,3,20,10,10,80,0.1,7,1,NA,2,NA,9,NA,10,1
2247,1002973,1,6,2,33,1.5,3.5,1.5,16,7,14,14,3.5,3.5,2.5,1,NA,4,NA,2,NA,90,7
2254,1002801,1,1.5,2,999,1,1.1,0.9,1,1.1,1.5,1.5,0.75,0.7,1.5,1,NA,4,NA,9,NA,30,7
1005,1000780,0.4,3,0.7,0.5,3,0.5,0.7,10,10,999,999,0.7,0.7,1,2,NA,2,NA,12,NA,4,6
1086,1000120,3,3,0.2,3,3,0.1,0.1,0.1,6,0.1,0.1,80,0.1,0.1,2,NA,2,NA,9,NA,10,4
1141,1001091,2,10,2,10,2,2,2,3,15,999,999,2,2,1,7,NA,9,NA,9,NA,90,6
3264,1002005,1,7,2,45,2.3,1,1,8,8,45,45,2,1,8,1,NA,4,NA,4,NA,6,6
2409,1002719,1.5,2,1,1,2,0.5,2,3,3,999,999,3,2,0.2,1,NA,4,NA,4,NA,40,5
3894,3000454,7,10,17,999,7,0.5,0.5,17,17,15,999,8,0.5,15,5,NA,2,NA,2,NA,15,6
2455,1002302,1.5,5,0.5,70,4,2,1,1,1,7,7,1,0.5,6,1,NA,4,NA,4,NA,10,2
3285,1002322,4,10,4,40,4,2,4,4,10,10,10,4,0.1,10,1,NA,4,NA,4,NA,240,5
1197,1000767,2,4,3,5,4,0.1,2,7,10,999,999,4,2,6,5,NA,2,NA,4,NA,10,2
1939,1000506,0.5,7,0.5,7,12,1,1,13,26,999,999,999,13,999,1,NA,2,NA,4,NA,20,7
1091,1000596,0.3,2,1,2,2,0.2,0.3,0.3,2,5,5,70,0.1,5,8,NA,2,NA,2,NA,1,2
1033,1001448,0.5,2.5,0.5,999,1,0.5,0.3,0.3,999,1,999,999,0.3,0.3,1,NA,2,NA,2,NA,8,2
3287,1002324,2,4,2,45,2,2,2,2,999,9,9,2,0.5,9,1,NA,4,NA,2,NA,0.7,2
3896,3001148,1,16,2,2,14,0.5,1,1,1,40,68,10,1,1,1,NA,2,NA,9,NA,10,4
3853,3000773,2,10,3,8,9,1,0.5,6,10,999,999,6,2,9,1,NA,2,NA,2,NA,5,6
1113,1001966,0.25,2,1,999,2,0.25,0.25,1,999,18,18,1,1,0.5,1,NA,2,NA,9,NA,3,2
3855,3000423,2,8,2,3,8,0.1,1,8,18,999,999,8,8,2,2,NA,2,NA,9,NA,10,6
2311,1002461,3,6,6,6,6,2,0.1,0.1,5,6,6,70,0.1,6,2,NA,4,NA,8,NA,10,4
2278,1001416,1,1,1,999,1,0.7,0.7,1,1,999,999,1,1,1.5,1,NA,2,NA,4,NA,10,7
2852,1002911,3,9,2,22,8,3,8,8,14,999,999,6,3,7,8,NA,4,NA,4,NA,24,6
2845,1002333,3,5,2,3,3,3,2,2,20,999,999,2,0.2,10,5,NA,2,NA,4,NA,30,7
3266,1002975,0.5,2,2,50,4,0.5,0.5,4,1.5,85,85,2,0.5,8,2,NA,2,NA,2,NA,20,4
3268,1003016,0.5,3.5,3.5,86,2.2,0.5,0.5,15,15,85,85,2.3,0.05,15,1,NA,2,NA,2,NA,30,4
4063,1002164,4,9,6,41,3,5,6,8,8,43,43,5,5,5,1,NA,9,NA,9,NA,2,6
2268,1000257,2,6,3,5,3,2,3,3,4,999,999,4,2,4,2,NA,2,NA,2,NA,0.5,2
3482,1001092,7,7,1,7,5,1,1,1,20,40,50,70,2,4,1,NA,2,NA,9,NA,20,5
1130,1000098,0.5,0.5,1,0.5,0.5,0.5,1,1,1,1,70,1,1,1,5,NA,4,NA,11,NA,10,2
2865,1002109,1,4,1,1,1,0.3,1,1,1,999,999,1,0.1,1,1,NA,2,NA,2,NA,35,6
2310,1002462,4,6,4,6,6,4,0.1,0.1,6,6,6,70,0.2,6,2,NA,4,NA,9,NA,10,6
3288,1002323,2,4,2,45,4,0.6,2,2,12,9,9,2,2,9,2,NA,9,NA,9,NA,0.5,6
1815,1002300,0.5,2,1,2,1,1,1,2,2,5,5,2,1,2,2,NA,2,NA,4,NA,0.5,2
3435,1002417,1.5,2.5,2.5,999,6,1.5,0.5,3,3,15,999,2,0.5,15,2,NA,4,NA,4,NA,30,7
1039,1000483,1,10,6,999,6,0.3,0.6,0.6,999,999,999,0.6,0.6,0.7,1,NA,2,NA,2,NA,2,7
3838,3000970,1,10,0.5,3,9,0.5,1,1,20,999,999,8,2,8,5,NA,2,NA,2,NA,20,6
2289,1001785,0.5,5,0.3,999,5,0.5,0.1,0.1,5,999,999,0.1,0.1,0.2,7,NA,4,NA,2,NA,6,2
2454,1002301,1.5,7,0.5,60,0.5,3,0.5,0.5,0.5,10,10,0.5,0.5,15,1,NA,4,NA,4,NA,30,7
2819,1001982,4,4,4,5,5,0.2,0.1,8,20,999,999,4,0.1,1,8,NA,2,NA,9,NA,4,6
3433,1001293,4,7,2.5,999,4,0.05,2,8,8,8,999,10,2,10,2,NA,2,NA,2,NA,30,7
3909,3000415,2,15,3,3,5,1,1,2,999,999,999,999,5,5,1,NA,2,NA,9,NA,30,2
1205,1001533,3,20,8,8,8,1,2,7,7,999,999,5,2,2,2,NA,8,NA,4,NA,15,5
1080,1001144,5,20,4,5,4,1,1,3,15,6,6,70,3,6,1,NA,2,NA,9,NA,30,6
3507,1001983,4,4,3,7,7,1,1,7,22,999,999,3,0.1,2,1,NA,2,NA,4,NA,8,6
2398,1000208,0.5,4,2,999,3,1,0.05,2,2,12,999,2,2,12,1,NA,2,NA,6,NA,5,6
3422,1001425,5,8,8,65,5,0.2,0.2,18,18,65,65,1.9,11,18,2,NA,2,NA,2,NA,30,4
4058,1001278,0.5,0.5,2,12,2,0.15,0.15,3,3,6,6,0.15,0.15,6,1,NA,2,NA,4,NA,10,7
1058,1000229,5,10,3,80,3,1,3,3,3,3,7,3,3,7,2,NA,4,NA,4,NA,10,7
2350,1002939,3,7,1,5,3,1,1,5,7,5,999,5,1,2,1,NA,4,NA,4,NA,3,6
998,1001978,2,3,0.1,5,5,0.3,0.2,5,8,25,999,2,5,2,1,NA,2,NA,4,NA,5,6
3470,1002848,1,8,2,2,2,1,0.5,8,4,999,999,1,1,6,2,NA,4,NA,3,NA,60,7
2316,1002714,2,3,3,7,6,3,3,6,6,6,7,70,3,2,3,NA,9,NA,9,NA,20,6
2314,1002681,1,2,3,6,2,2,2,2,6,6,6,70,2,0.2,2,NA,4,NA,4,NA,15,4
3912,3001423,0.5,14,0.4,11,13,0.3,0.3,0.4,0.3,999,999,13,0.1,2,1,NA,2,NA,2,NA,15,6
1138,1000055,1,20,20,20,20,1,1,1,20,999,999,68,2,25,2,NA,4,NA,4,NA,14,6
1721,1001902,2,7,1.5,3,5,0.1,0.1,1.5,7,999,999,3,0.1,2,1,NA,2,NA,2,NA,15,4
4066,3001446,0.2,7,3,55,5,0.2,0.1,5,14,56,56,5,5,18,2,NA,2,NA,2,NA,20,2
3911,3001422,0.5,14,0.4,11,13,0.4,0.4,0.4,0.4,999,999,13,0.1,2,2,NA,2,NA,2,NA,50,6
1811,1000881,1,1,1.5,1,1,1,1,1,1.5,5,7,1.5,1,1,1,NA,2,NA,4,NA,25,6
2330,1000682,0.5,8,0.5,50,5,0.5,0.5,0.5,15,999,999,4,0.5,10,1,NA,2,NA,2,NA,20,2
2248,1002974,1.1,5.1,1.1,32,2.6,0.5,2.6,15,6,13,13,2.6,2.5,0.125,1,NA,4,NA,2,NA,120,7
3890,3000922,2.5,5,4,999,6,0.025,0.025,15,15,10,999,6,0.025,10,5,NA,2,NA,2,NA,45,5
3473,1000057,1,7,0.5,7,7,0.3,0.5,0.5,7,7,7,70,0.2,7,1,NA,2,NA,4,NA,5,4
2352,1001769,1,1,1,2,6.5,1,1,1,6.5,999,999,7,0.5,1,1,NA,4,NA,4,NA,10,6
2333,1002634,2,9,3,3,2,2,2,12,12,999,999,2,0.5,7,2,NA,2,NA,4,NA,30,6
2353,1002249,1,10,3,3,6,1,1,1,9,999,6,6,1,1,1,NA,4,NA,4,NA,60,6
2358,1002304,1,3,3,8,4,2,3,3,3,999,999,3,2,3,2,NA,4,NA,4,NA,60,6
2236,1001225,1,1.1,2,3,3,0.25,0.25,0.25,8,999,999,7,0.25,0.26,1,NA,2,NA,5,NA,20,7
3505,1002968,2.5,3,3,20,8,3,1.5,20,19,999,999,8,8,10,8,NA,4,NA,4,NA,30,6
3508,1002705,0.5,8,0.5,4,4,0.5,0.5,2.5,2.5,999,999,4,0.1,0.5,2,NA,4,NA,4,NA,30,6
1142,1000563,0.3,1,0.3,0.3,0.3,1,0.3,0.3,1,999,999,90,0.3,1,2,NA,2,NA,2,NA,6,6
2320,1001497,1,2,1,999,1,0.1,3,3,999,999,999,6,0.1,999,1,NA,2,NA,2,NA,5,2
2255,1002799,2.5,3,3.5,999,2.5,2.6,2.4,2.5,3,3,3,2.25,1,2,1,NA,4,NA,4,NA,50,6
1096,1000747,4,5,5,1,0.5,0.6,0.1,0.1,1,5,5,80,0.1,5,1,NA,2,NA,2,NA,5,6
2476,1002750,0.5,3,1,66,2,0.2,1,1,2,8,8,2,0.1,8,1,NA,2,NA,2,NA,0.5,7
3899,3000964,2,6,2,4,2,1,1,1,19,2,60,1,1,2,1,NA,2,NA,9,NA,15,4
3478,1002733,2,15,15,18,4,2,1,1,18,18,20,70,2,3,1,NA,4,NA,9,NA,20,6
1733,1001284,2,1.5,0.5,0.5,0.5,0.6,0.02,2.5,2.5,999,999,5,0.1,0.1,1,NA,2,NA,2,NA,3,5
2449,1001408,0.3,6,1,37,4,0.2,0.4,4,7,37,37,4,0.01,18,1,NA,2,NA,2,NA,6,4
2442,1001835,2.5,7,1,47,5,7,1,4,5,47,47,1,1,7,2,NA,4,NA,4,NA,30,6
1816,1001494,6,8,1,1,1,1,2,2,8,15,12,12,1,2,1,NA,2,NA,9,NA,10,7
3471,1002743,1.5,8,2,2,4,2,2,6,3,4,999,2,0.2,4,2,NA,4,NA,3,NA,0.5,7
1001,1000677,1,1.5,0.5,1,1,0.3,0.5,7,7,999,999,1,1,0.1,1,NA,2,NA,4,NA,10,6
1037,1000485,0.4,10,7,999,7,0.1,1,1,999,999,999,1,1,0.5,5,latrine fell down due to heavy rains.,2,NA,2,NA,5,2
1135,1000853,5,10,4,4,7,1,3,3,3,7,8,4,0.5,6,2,NA,2,NA,9,NA,15,4
1153,1000487,1,4,4,4,4,0.1,0.5,4,4,6,999,4,0.5,6,5,NA,2,NA,4,NA,20,7
1647,1001483,1,3,3,3,3,0.5,2,2,4,6,6,70,0.1,6,2,NA,2,NA,4,NA,5,4
2435,1001802,0.5,7,0.01,45,10,0.5,0.001,6,4,45,45,0.5,0.001,7,1,NA,4,NA,4,NA,0.1,6
3456,1001464,1,0.5,1,40,1,0.4,1,0.6,0.6,999,20,0.6,0.1,0.4,1,NA,2,NA,2,NA,25,7
3868,3000955,2,12,3,4,5,1,0.1,0.1,15,6,6,70,0.1,6,7,NA,2,NA,9,NA,20,2
2838,1002167,1.5,4,2,999,5,1.5,0.8,0.8,4,999,999,0.8,0.1,0.1,8,NA,4,NA,4,NA,50,6
3452,1000547,0.25,3,0.25,999,3,0.05,0.25,8,8,15,999,8,0.05,15,1,NA,2,NA,2,NA,15,7
3450,1002328,3,1,3,999,0.5,3,0.5,3,3,15,999,5,0.5,15,5,NA,4,NA,7,NA,35,6
1048,1001537,2,7,7,75,25,0.5,2,2,2,7,7,2,2,7,2,NA,8,NA,4,NA,30,7
1139,1000476,3,8,8,8,9,1,2,1,20,999,999,8,1,20,1,NA,2,NA,2,NA,10,2
1152,1001536,3,6,2,5,9,0.1,2,5,5,15,999,2,2,15,2,NA,4,NA,4,NA,20,6
3858,3000461,5,15,7,7,12,0.05,1,4,20,999,999,9,0.5,20,2,NA,2,NA,9,NA,60,7
2253,1002802,1,1,1.5,999,0.5,0.6,0.4,0.5,1,1,1,0.25,0.5,1,2,NA,4,NA,4,NA,45,7
3441,1001426,0.5,1,2,999,2,0.125,1,0.125,1,4,999,2,0.01,4,5,NA,2,NA,2,NA,30,7
2408,1002717,2,3,1,2,2,1,2,2,2,999,999,1,1,0.2,1,NA,4,NA,4,NA,60,6
3437,1002414,1.5,2.5,2.5,999,6,1.5,0.5,3,3,15,999,2,0.5,15,5,NA,4,NA,4,NA,30,1
3910,3000416,2,15,3,3,5,0.5,0.5,2,999,999,999,999,5,5,1,NA,2,NA,9,NA,15,6
1057,1000329,0.125,5,1,80,2,0.5,3,3,3,3,3,3,3,7,2,NA,2,NA,4,NA,6,7
3445,1001421,3,1,3,999,3,0.5,0.5,3,3,15,999,5,0.5,15,1,NA,4,NA,4,NA,45,6
1127,1000515,2,7,7,7,7,0.5,1,68,10,68,68,2,7,68,1,NA,2,NA,4,NA,15,5
3429,1000839,0.15,5,3,8,0.15,1,0.15,10,10,10,999,3,1,3,7,NA,4,NA,4,NA,30,6
2471,1001948,0.4,6,1,50,1,0.3,1,1,1,5,5,1,0.1,5,1,NA,2,NA,2,NA,0.5,7
2397,1000183,1,4,0.5,82,1,0.5,0.5,1,1,7,999,1,0.5,7,1,NA,2,NA,10,NA,25,2
1644,1000829,3,3,4,3,2,2,0.1,0.1,6,6,15,80,0.1,0.1,1,NA,2,NA,4,NA,5,2
3845,3001163,1,20,1,1,20,0.5,0.3,2,20,999,999,12,0.1,35,5,NA,2,NA,4,NA,0.5,6
3849,3000785,2.5,9,1,4,10,0.5,2,7,21,999,999,8,8,1,5,NA,2,NA,4,NA,8,4
3418,1000688,2,20,7,999,8,0.5,0.5,0.5,8,999,999,25,0.6,4,1,NA,2,NA,2,NA,0.5,2
3876,1000566,1,2,7,2,3,2,3,2,9,9,6,1,1,2,1,NA,2,NA,2,NA,15,3
2277,1001271,1,3,1,999,1,0.6,1,1,8,999,999,1,1,0.2,1,NA,4,NA,4,NA,300,6
3286,1002325,2,4,2,45,2,2,2,2,999,9,9,2,2,9,1,NA,4,NA,4,NA,2,1
3413,1000828,3,8,4,20,4,1,2,2,10,999,999,3,2,4,2,NA,2,NA,2,NA,8,1
3414,1002857,2,10,18,30,7,2,2,6,15,999,999,7,0.5,6,1,NA,2,NA,2,NA,20,7
2850,1002224,1.5,8,1,20,6,1,6,6,12,999,999,3,2,3,7,NA,4,NA,4,NA,20,6
3438,1002514,1.5,2.5,2.5,999,6,1.5,0.5,3,3,15,999,2,0.5,15,1,NA,4,NA,4,NA,30,7
2318,1002715,3,3,4,6,6,3,3,3,6,7,7,70,1,2,2,NA,9,NA,9,NA,20,6
2284,1002263,0.3,7,0.2,999,4,0.3,0.1,0.1,3,999,999,3,0.1,0.3,1,NA,4,NA,2,NA,15,2
4072,3002068,1,7,3,60,7,0.5,2,2,999,12,12,1,1,12,2,NA,2,NA,1,NA,1,7
3439,1002515,1.5,2.5,2.5,999,6,1.5,0.5,3,3,15,999,2,0.5,15,5,NA,4,NA,4,NA,30,6
3509,1002809,2,5,2,7,5,2,2,3,3,999,999,3,0.1,1,1,NA,4,NA,4,NA,8,6
2292,1002250,3,7,2,999,5,2,1,1,5,999,999,2,2,0.8,1,NA,4,NA,4,NA,30,7
2436,1001831,1.5,7,0.6,49,6,1.5,0.1,7,7,49,49,1.5,0.01,7,2,NA,4,NA,4,NA,10,6
2264,1001362,1,3,3,6,3,1,2,2,3,999,999,3,1,3,1,NA,2,NA,2,NA,30,7
1125,1001405,1,1,1,8,8,1,1,1,8,68,68,1,999,999,1,NA,2,NA,4,NA,20,4
1147,1001277,1,2,0.5,3,1,1,0.5,6,6,5,999,0.5,0.5,5,1,NA,2,NA,4,NA,10,7
3869,3000925,1.5,7,7,69,7,0.3,1.5,1.2,999,25,25,25,0.3,25,1,NA,2,NA,2,NA,0.5,2
1619,1001399,0.3,0.3,0.3,80,0.5,0.5,0.5,0.5,20,8,8,1,0.5,8,2,NA,2,NA,2,NA,0.5,7
1941,1002312,2,3,1,2,6,1,1,1,6,999,999,999,1,999,1,NA,4,NA,7,NA,120,3
1133,1000785,2,6,2,70,5,1.5,1,1,12,12,3,1,1,3,2,NA,2,NA,9,NA,30,7
3854,3000786,3,10,8,8,10,0.5,1,8,20,999,999,10,0.05,16,3,NA,2,NA,9,NA,30,1
1812,1000880,1.5,1,1.5,2,1,0.5,1,1,1.5,1,2,1,1,1,1,NA,2,NA,4,NA,10,7
1204,1001531,3,20,8,2,8,0.1,2,2,7,999,999,2,2,1,2,NA,4,NA,4,NA,10,6
3512,1002808,2,5,2,7,7,2,2,7,6,999,999,2,0.1,2,1,NA,4,NA,9,NA,30,6
3881,1002117,1,2,1,50,1,1,1,1,8,8,50,1,1,8,1,NA,4,NA,9,NA,120,7
3880,3001445,0.025,5,2,999,5,0.025,0.025,15,15,10,999,4,0.025,10,1,NA,2,NA,2,NA,30,2
3417,1002855,3,6,6,10,7,2,2,6,10,999,999,6,1,7,1,NA,2,NA,2,NA,10,6
3431,1001343,5,6,2.5,999,4,0.05,2,8,8,10,999,10,2,10,1,NA,2,NA,2,NA,30,6
2483,1002741,4,6,6,25,5,1,5,5,5,8,8,8,0.7,8,1,NA,4,NA,4,NA,1,2
1121,1001148,2.5,6,1,2,2,1,1,15,12,12,68,1,5,5,2,NA,2,NA,4,NA,30,2
2385,1002088,1,8,1,50,1,0.5,1,1,1,50,8,1,1,7,1,NA,4,NA,9,NA,60,1
1728,1001478,3,3,3,3,3,0.3,0.1,5,8,999,999,8,0.1,10,1,NA,4,NA,4,NA,0.5,7
1199,1001635,3,17,3,6,15,2,3,9,20,999,999,3,0.5,15,7,NA,2,NA,4,NA,20,6
2430,1001768,5,27,1,1,20,7,0.5,20,20,999,999,999,0.5,20,1,NA,4,NA,2,NA,15,2
3887,1001274,2,4,0.5,2,2,0.5,0.5,0.5,0.5,0.5,15,0.5,0.5,1,5,NA,4,NA,2,NA,20,2
3432,1001294,4,7,2.5,999,1,4,0.05,2,8,8,999,10,2,8,1,NA,2,NA,8,NA,30,7
